FREQ,V_IN,V_OUT,R_1_1,R_2_1,R_1_2,R_2_2
500, 2.06, 20.4, 1.01e3, 9.94e3, 1.012e3, 10.03e3
800, 2.06, 20.3, 1.01e3, 9.94e3, 1.012e3, 10.03e3
1e3, 2.06, 20.3, 1.01e3, 9.94e3, 1.012e3, 10.03e3
2e3, 2.06, 20.4, 1.01e3, 9.94e3, 1.012e3, 10.03e3
3e3, 2.06, 20.3, 1.01e3, 9.94e3, 1.012e3, 10.03e3
5e3, 2.06, 20.4, 1.01e3, 9.94e3, 1.012e3, 10.03e3
8e3, 2.10, 20.6, 1.01e3, 9.94e3, 1.012e3, 10.03e3
10e3, 2.09, 20.5, 1.01e3, 9.94e3, 1.012e3, 10.03e3
20e3, 2.08, 20.4, 1.01e3, 9.94e3, 1.012e3, 10.03e3
30e3, 2.09, 20.3, 1.01e3, 9.94e3, 1.012e3, 10.03e3
50e3, 2.08, 20.0, 1.01e3, 9.94e3, 1.012e3, 10.03e3
80e3, 2.08, 19.2, 1.01e3, 9.94e3, 1.012e3, 10.03e3
100e3, 2.08, 18.7, 1.01e3, 9.94e3, 1.012e3, 10.03e3
200e3, 2.10, 15.2, 1.01e3, 9.94e3, 1.012e3, 10.03e3
300e3, 2.08, 12.1, 1.01e3, 9.94e3, 1.012e3, 10.03e3
500e3, 2.10, 7.54, 1.01e3, 9.94e3, 1.012e3, 10.03e3
800e3, 2.10, 4.92, 1.01e3, 9.94e3, 1.012e3, 10.03e3
1e6, 2.10, 3.96, 1.01e3, 9.94e3, 1.012e3, 10.03e3
2e6, 2.06, 1.93, 1.01e3, 9.94e3, 1.012e3, 10.03e3
3e6, 2.03, 1.22, 1.01e3, 9.94e3, 1.012e3, 10.03e3
5e6, 1.94, 680e-3, 1.01e3, 9.94e3, 1.012e3, 10.03e3
8e6, 1.82, 464e-3, 1.01e3, 9.94e3, 1.012e3, 10.03e3
10e6, 1.76, 600e-3, 1.01e3, 9.94e3, 1.012e3, 10.03e3
20e6, 1.42, 500e-3, 1.01e3, 9.94e3, 1.012e3, 10.03e3

500, 2.06, 20.9, 1.01e3, 9.94e3, 1.012e3, 14.896e3
1e3, 2.06, 20.9, 1.01e3, 9.94e3, 1.012e3, 14.896e3
2e3, 2.06, 20.9, 1.01e3, 9.94e3, 1.012e3, 14.896e3
5e3, 2.11, 21.2, 1.01e3, 9.94e3, 1.012e3, 14.896e3
10e3, 2.10, 21.2, 1.01e3, 9.94e3, 1.012e3, 14.896e3
20e3, 2.09, 21.0, 1.01e3, 9.94e3, 1.012e3, 14.896e3
50e3, 2.09, 20.6, 1.01e3, 9.94e3, 1.012e3, 14.896e3
100e3, 2.10, 19.3, 1.01e3, 9.94e3, 1.012e3, 14.896e3
200e3, 2.10, 15.6, 1.01e3, 9.94e3, 1.012e3, 14.896e3
500e3, 2.10, 7.74, 1.01e3, 9.94e3, 1.012e3, 14.896e3
1e6, 2.10, 4.00, 1.01e3, 9.94e3, 1.012e3, 14.896e3
2e6, 2.07, 1.98, 1.01e3, 9.94e3, 1.012e3, 14.896e3
5e6, 1.96, 688e-3, 1.01e3, 9.94e3, 1.012e3, 14.896e3
10e6, 1.76, 608e-3, 1.01e3, 9.94e3, 1.012e3, 14.896e3
